state,year,offense,count
MO,2014,property-crime,32681
MO,2014,rape,537
MO,2014,robbery,1775
MO,2014,violent-crime,5394
MO,2015,aggravated-assault,3478
MO,2015,arson,249
MO,2015,burglary,6086
MO,2015,homicide,106
MO,2015,larceny,19844
MO,2015,motor-vehicle-theft,4524
MO,2015,property-crime,30703
MO,2015,rape,512
MO,2015,robbery,1891
MO,2015,violent-crime,5987
MO,2016,aggravated-assault,4022
MO,2016,arson,246
MO,2016,burglary,6047
MO,2016,homicide,131
MO,2016,larceny,20033
MO,2016,motor-vehicle-theft,4649
MO,2016,property-crime,30975
MO,2016,rape,574
MO,2016,robbery,2071
MO,2016,violent-crime,6798
MO,2017,aggravated-assault,4547
MO,2017,arson,254
MO,2017,burglary,6044
MO,2017,homicide,148
MO,2017,larceny,22571
MO,2017,motor-vehicle-theft,5369
MO,2017,property-crime,34238
MO,2017,rape,675
MO,2017,robbery,2068
MO,2017,violent-crime,7438
MO,2018,aggravated-assault,4745
MO,2018,arson,317
MO,2018,burglary,6216
MO,2018,homicide,157
MO,2018,larceny,27139
MO,2018,motor-vehicle-theft,6105
MO,2018,property-crime,39777
MO,2018,rape,838
MO,2018,robbery,1907
MO,2018,violent-crime,7647
MS,2009,aggravated-assault,2
MS,2009,arson,1
MS,2009,burglary,159
MS,2009,homicide,2
MS,2009,larceny,303
MS,2009,motor-vehicle-theft,77
MS,2009,property-crime,540
MS,2009,rape,1
MS,2009,robbery,11
MS,2009,violent-crime,16
MS,2010,aggravated-assault,44
MS,2010,arson,14
MS,2010,burglary,926
MS,2010,homicide,6
MS,2010,larceny,2671
MS,2010,motor-vehicle-theft,156
MS,2010,property-crime,3767
MS,2010,rape,26
MS,2010,robbery,67
MS,2010,violent-crime,143
MS,2011,aggravated-assault,98
MS,2011,arson,15
MS,2011,burglary,1387
MS,2011,homicide,11
MS,2011,larceny,3456
MS,2011,motor-vehicle-theft,206
MS,2011,property-crime,5064
MS,2011,rape,46
MS,2011,robbery,133
MS,2011,violent-crime,288
MS,2012,aggravated-assault,103
MS,2012,arson,23
MS,2012,burglary,1607
MS,2012,homicide,4
MS,2012,larceny,3896
MS,2012,motor-vehicle-theft,280
MS,2012,property-crime,5806
MS,2012,rape,55
MS,2012,robbery,151
MS,2012,violent-crime,313
MS,2013,aggravated-assault,139
MS,2013,arson,28
MS,2013,burglary,1558
MS,2013,homicide,6
MS,2013,larceny,4591
MS,2013,motor-vehicle-theft,293
MS,2013,property-crime,6470
MS,2013,rape,61
MS,2013,robbery,168
MS,2013,violent-crime,374
MS,2014,aggravated-assault,112
MS,2014,arson,38
MS,2014,burglary,1580
MS,2014,homicide,6
MS,2014,larceny,4940
MS,2014,motor-vehicle-theft,296
MS,2014,property-crime,6854
MS,2014,rape,66
MS,2014,robbery,174
MS,2014,violent-crime,358
MS,2015,aggravated-assault,173
MS,2015,arson,42
MS,2015,burglary,1701
MS,2015,homicide,11
MS,2015,larceny,5258
MS,2015,motor-vehicle-theft,434
MS,2015,property-crime,7435
MS,2015,rape,74
MS,2015,robbery,186
MS,2015,violent-crime,444
MS,2016,aggravated-assault,158
MS,2016,arson,43
MS,2016,burglary,1671
MS,2016,homicide,13
MS,2016,larceny,5481
MS,2016,motor-vehicle-theft,473
MS,2016,property-crime,7668
MS,2016,rape,67
MS,2016,robbery,191
MS,2016,violent-crime,429
MS,2017,aggravated-assault,210
MS,2017,arson,31
MS,2017,burglary,1791
MS,2017,homicide,14
MS,2017,larceny,5829
MS,2017,motor-vehicle-theft,523
MS,2017,property-crime,8174
MS,2017,rape,78
MS,2017,robbery,185
MS,2017,violent-crime,487
MS,2018,aggravated-assault,397
MS,2018,arson,42
MS,2018,burglary,2561
MS,2018,homicide,17
MS,2018,larceny,8955
MS,2018,motor-vehicle-theft,927
MS,2018,property-crime,12485
MS,2018,rape,108
MS,2018,robbery,247
MS,2018,violent-crime,769
MT,2005,aggravated-assault,1622
MT,2005,arson,158
MT,2005,burglary,3312
MT,2005,homicide,18
MT,2005,larceny,22509
MT,2005,motor-vehicle-theft,1772
MT,2005,property-crime,27751
MT,2005,rape,306
MT,2005,robbery,176
MT,2005,violent-crime,2122
MT,2006,aggravated-assault,1686
MT,2006,arson,241
MT,2006,burglary,2881
MT,2006,homicide,19
MT,2006,larceny,20892
MT,2006,motor-vehicle-theft,1667
MT,2006,property-crime,25681
MT,2006,rape,326
MT,2006,robbery,167
MT,2006,violent-crime,2198
MT,2007,aggravated-assault,1814
MT,2007,arson,236
MT,2007,burglary,2988
MT,2007,homicide,14
MT,2007,larceny,21915
MT,2007,motor-vehicle-theft,1721
MT,2007,property-crime,26860
MT,2007,rape,328
MT,2007,robbery,197
MT,2007,violent-crime,2353
MT,2008,aggravated-assault,1641
MT,2008,arson,171
MT,2008,burglary,3285
MT,2008,homicide,25
MT,2008,larceny,20939
MT,2008,motor-vehicle-theft,1558
MT,2008,property-crime,25953
MT,2008,rape,338
MT,2008,robbery,176
MT,2008,violent-crime,2180
MT,2009,aggravated-assault,1569
MT,2009,arson,162
MT,2009,burglary,3330
MT,2009,homicide,25
MT,2009,larceny,19881
MT,2009,motor-vehicle-theft,1410
MT,2009,property-crime,24783
MT,2009,rape,335
MT,2009,robbery,214
MT,2009,violent-crime,2143
MT,2010,aggravated-assault,1651
MT,2010,arson,151
MT,2010,burglary,3333
MT,2010,homicide,20
MT,2010,larceny,20312
MT,2010,motor-vehicle-theft,1425
MT,2010,property-crime,25221
MT,2010,rape,329
MT,2010,robbery,157
MT,2010,violent-crime,2157
MT,2011,aggravated-assault,1647
MT,2011,arson,149
MT,2011,burglary,3061
MT,2011,homicide,16
MT,2011,larceny,19288
MT,2011,motor-vehicle-theft,1283
MT,2011,property-crime,23781
MT,2011,rape,361
MT,2011,robbery,155
MT,2011,violent-crime,2179
MT,2012,aggravated-assault,1715
MT,2012,arson,187
MT,2012,burglary,3532
MT,2012,homicide,20
MT,2012,larceny,20823
MT,2012,motor-vehicle-theft,1554
MT,2012,property-crime,26096
MT,2012,rape,404
MT,2012,robbery,200
MT,2012,violent-crime,2339
MT,2013,aggravated-assault,1662
MT,2013,arson,134
MT,2013,burglary,3681
MT,2013,homicide,16
MT,2013,larceny,20385
