index,state,year,offense,count
1868,IL,2008,burglary,2785
6256,IL,2008,homicide,21
3344,IL,2008,larceny,6511
4830,IL,2008,motor-vehicle-theft,770
13550,IL,2008,property-crime,10124
7694,IL,2008,rape,144
9168,IL,2008,robbery,585
12066,IL,2008,violent-crime,1816
399,IL,2009,aggravated-assault,987
10605,IL,2009,arson,39
1869,IL,2009,burglary,2328
6257,IL,2009,homicide,20
3345,IL,2009,larceny,5916
4831,IL,2009,motor-vehicle-theft,470
13551,IL,2009,property-crime,8753
7695,IL,2009,rape,131
9169,IL,2009,robbery,600
12067,IL,2009,violent-crime,1738
400,IL,2010,aggravated-assault,1211
10606,IL,2010,arson,90
1870,IL,2010,burglary,2327
6258,IL,2010,homicide,21
3346,IL,2010,larceny,5207
4832,IL,2010,motor-vehicle-theft,457
13552,IL,2010,property-crime,8081
7696,IL,2010,rape,143
9170,IL,2010,robbery,498
12068,IL,2010,violent-crime,1873
401,IL,2011,aggravated-assault,1051
10607,IL,2011,arson,70
1871,IL,2011,burglary,1865
6259,IL,2011,homicide,21
3347,IL,2011,larceny,4984
4833,IL,2011,motor-vehicle-theft,505
13553,IL,2011,property-crime,7424
7697,IL,2011,rape,137
9171,IL,2011,robbery,570
12069,IL,2011,violent-crime,1779
402,IL,2012,aggravated-assault,1045
10608,IL,2012,arson,81
1872,IL,2012,burglary,2250
6260,IL,2012,homicide,12
3348,IL,2012,larceny,5212
4834,IL,2012,motor-vehicle-theft,402
13554,IL,2012,property-crime,7945
7698,IL,2012,rape,154
9172,IL,2012,robbery,502
12070,IL,2012,violent-crime,1713
403,IL,2013,aggravated-assault,1080
10609,IL,2013,arson,107
1873,IL,2013,burglary,1892
6261,IL,2013,homicide,17
3349,IL,2013,larceny,4852
4835,IL,2013,motor-vehicle-theft,391
13555,IL,2013,property-crime,7242
7699,IL,2013,rape,141
9173,IL,2013,robbery,396
12071,IL,2013,violent-crime,1634
404,IL,2014,aggravated-assault,996
10610,IL,2014,arson,87
1874,IL,2014,burglary,1675
6262,IL,2014,homicide,14
3350,IL,2014,larceny,4501
4836,IL,2014,motor-vehicle-theft,405
13556,IL,2014,property-crime,6668
7700,IL,2014,rape,134
9174,IL,2014,robbery,419
12072,IL,2014,violent-crime,1563
405,IL,2015,aggravated-assault,1128
10611,IL,2015,arson,70
1875,IL,2015,burglary,1440
6263,IL,2015,homicide,18
3351,IL,2015,larceny,4125
4837,IL,2015,motor-vehicle-theft,507
13557,IL,2015,property-crime,6142
7701,IL,2015,rape,156
9175,IL,2015,robbery,509
12073,IL,2015,violent-crime,1811
406,IL,2016,aggravated-assault,1164
10612,IL,2016,arson,83
1876,IL,2016,burglary,1409
6264,IL,2016,homicide,23
3352,IL,2016,larceny,3871
4838,IL,2016,motor-vehicle-theft,488
13558,IL,2016,property-crime,5851
7702,IL,2016,rape,141
9176,IL,2016,robbery,542
12074,IL,2016,violent-crime,1870
407,IL,2017,aggravated-assault,1158
10613,IL,2017,arson,59
1877,IL,2017,burglary,1397
6265,IL,2017,homicide,18
3353,IL,2017,larceny,3596
4839,IL,2017,motor-vehicle-theft,454
13559,IL,2017,property-crime,5506
7703,IL,2017,rape,121
9177,IL,2017,robbery,428
12075,IL,2017,violent-crime,1725
408,IL,2018,aggravated-assault,1152
10614,IL,2018,arson,65
1878,IL,2018,burglary,1197
6266,IL,2018,homicide,19
3354,IL,2018,larceny,3954
4840,IL,2018,motor-vehicle-theft,472
13560,IL,2018,property-crime,5688
7704,IL,2018,rape,132
9178,IL,2018,robbery,349
12076,IL,2018,violent-crime,1652
1902,IN,2013,burglary,1
3384,IN,2013,larceny,20
4860,IN,2013,motor-vehicle-theft,1
13596,IN,2013,property-crime,22
432,IN,2014,aggravated-assault,160
10630,IN,2014,arson,7
1903,IN,2014,burglary,172
6284,IN,2014,homicide,18
3385,IN,2014,larceny,911
4861,IN,2014,motor-vehicle-theft,292
13597,IN,2014,property-crime,1382
7732,IN,2014,rape,80
9198,IN,2014,robbery,24
12108,IN,2014,violent-crime,282
433,IN,2015,aggravated-assault,216
10631,IN,2015,arson,3
1904,IN,2015,burglary,170
6285,IN,2015,homicide,9
3386,IN,2015,larceny,842
4862,IN,2015,motor-vehicle-theft,277
13598,IN,2015,property-crime,1292
7733,IN,2015,rape,85
9199,IN,2015,robbery,25
12109,IN,2015,violent-crime,335
434,IN,2016,aggravated-assault,192
10632,IN,2016,arson,10
1905,IN,2016,burglary,175
6286,IN,2016,homicide,20
3387,IN,2016,larceny,910
4863,IN,2016,motor-vehicle-theft,368
13599,IN,2016,property-crime,1463
7734,IN,2016,rape,96
9200,IN,2016,robbery,21
12110,IN,2016,violent-crime,329
435,IN,2017,aggravated-assault,550
10633,IN,2017,arson,18
1906,IN,2017,burglary,906
6287,IN,2017,homicide,14
3388,IN,2017,larceny,3088
4864,IN,2017,motor-vehicle-theft,804
13600,IN,2017,property-crime,4816
7735,IN,2017,rape,174
9201,IN,2017,robbery,179
12111,IN,2017,violent-crime,917
436,IN,2018,aggravated-assault,1227
10634,IN,2018,arson,84
1907,IN,2018,burglary,2205
6288,IN,2018,homicide,37
3389,IN,2018,larceny,7447
4865,IN,2018,motor-vehicle-theft,1547
13601,IN,2018,property-crime,11283
7736,IN,2018,rape,225
9202,IN,2018,robbery,385
12112,IN,2018,violent-crime,1874
442,KS,2000,aggravated-assault,3094
10640,KS,2000,arson,787
1914,KS,2000,burglary,9795
6294,KS,2000,homicide,41
3396,KS,2000,larceny,42570
4872,KS,2000,motor-vehicle-theft,3080
13608,KS,2000,property-crime,56232
7742,KS,2000,rape,698
9208,KS,2000,robbery,438
12118,KS,2000,violent-crime,4271
443,KS,2001,aggravated-assault,3219
10641,KS,2001,arson,741
1915,KS,2001,burglary,10335
6295,KS,2001,homicide,43
3397,KS,2001,larceny,44332
4873,KS,2001,motor-vehicle-theft,3500
13609,KS,2001,property-crime,58908
7743,KS,2001,rape,809
9209,KS,2001,robbery,564
12119,KS,2001,violent-crime,4635
444,KS,2002,aggravated-assault,3323
10642,KS,2002,arson,719
1916,KS,2002,burglary,10864
6296,KS,2002,homicide,35
3398,KS,2002,larceny,43432
4874,KS,2002,motor-vehicle-theft,3505
13610,KS,2002,property-crime,58520
7744,KS,2002,rape,858
9210,KS,2002,robbery,565
12120,KS,2002,violent-crime,4781
445,KS,2003,aggravated-assault,4032
10643,KS,2003,arson,817
1917,KS,2003,burglary,14883
6297,KS,2003,homicide,60
3399,KS,2003,larceny,55442
4875,KS,2003,motor-vehicle-theft,4245
13611,KS,2003,property-crime,75387
7745,KS,2003,rape,1012
9211,KS,2003,robbery,944
12121,KS,2003,violent-crime,6048
446,KS,2004,aggravated-assault,4189
10644,KS,2004,arson,794
1918,KS,2004,burglary,14478
6298,KS,2004,homicide,70
3400,KS,2004,larceny,57026
4876,KS,2004,motor-vehicle-theft,4599
13612,KS,2004,property-crime,76897
7746,KS,2004,rape,1038
9212,KS,2004,robbery,1086
12122,KS,2004,violent-crime,6383
447,KS,2005,aggravated-assault,4273
10645,KS,2005,arson,727
1919,KS,2005,burglary,12956
6299,KS,2005,homicide,47
3401,KS,2005,larceny,49869
4877,KS,2005,motor-vehicle-theft,4525
13613,KS,2005,property-crime,68077
7747,KS,2005,rape,979
9213,KS,2005,robbery,919
12123,KS,2005,violent-crime,6218
448,KS,2006,aggravated-assault,5128
10646,KS,2006,arson,773
1920,KS,2006,burglary,13881
6300,KS,2006,homicide,65
3402,KS,2006,larceny,54155
4878,KS,2006,motor-vehicle-theft,4841
13614,KS,2006,property-crime,73650
7748,KS,2006,rape,1156
9214,KS,2006,robbery,991
12124,KS,2006,violent-crime,7340
449,KS,2007,aggravated-assault,5111
10647,KS,2007,arson,767
1921,KS,2007,burglary,14558
